Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a33	   8a34	 239.0 °	 -17.0 °		2.25								 -17.0 °	-0.66	2.25	2.15	724102.4	5021879.1	1852.4	77.7		

	8a34	   8a35	 346.0 °	 -16.0 °		3.12								 -16.0 °	-0.86	3.12	3.00	724101.6	5021882.0	1851.6	80.7		

	8a35	   8a36	  16.0 °	  -9.0 °		1.60								  -9.0 °	-0.25	1.60	1.58	724102.0	5021883.5	1851.3	82.3		

	8a36	   8a37	 290.0 °	 -23.0 °		2.71								 -23.0 °	-1.06	2.71	2.49	724099.6	5021884.4	1850.2	84.8		

	8a37	   8a38	 328.0 °	  -7.0 °		1.75								  -7.0 °	-0.21	1.75	1.74	724098.7	5021885.8	1850.0	86.5		

	8a38	   8a39	  24.0 °	 -11.0 °		1.40								 -11.0 °	-0.27	1.40	1.37	724099.2	5021887.1	1849.8	87.9		

	8a39	   8a40	 353.0 °	 -12.0 °		1.71								 -12.0 °	-0.36	1.71	1.67	724099.0	5021888.7	1849.4	89.6		

	8a40	   8a41	  76.0 °	 -18.0 °		1.98								 -18.0 °	-0.61	1.98	1.88	724100.8	5021889.2	1848.8	91.4		

	8a41	   8a42	 351.0 °	 -26.0 °		2.79								 -26.0 °	-1.22	2.79	2.51	724100.4	5021891.7	1847.6	94.0		

	8a42	   8a43	   7.0 °	  -5.0 °		0.92								  -5.0 °	-0.08	0.92	0.92	724100.5	5021892.6	1847.5	94.9		

	8a43	   8a44	 328.0 °	 -15.0 °		2.83								 -15.0 °	-0.73	2.83	2.73	724099.0	5021894.9	1846.8	97.6		

	8a44	   8a45	 259.0 °	  -5.0 °		2.41								  -5.0 °	-0.21	2.41	2.40	724096.7	5021894.4	1846.6	100.0		

	8a45	   8a46	 289.0 °	 -15.0 °		3.76								 -15.0 °	-0.97	3.76	3.63	724093.2	5021895.5	1845.6	103.6		

	8a46	   8a47	 320.0 °	 -15.0 °		1.51								 -15.0 °	-0.39	1.51	1.46	724092.3	5021896.6	1845.2	105.1		

	8a47	   8a48	  10.0 °	 -27.0 °		2.86								 -27.0 °	-1.30	2.86	2.55	724092.7	5021899.2	1843.9	107.6		

	8a48	   8a49	 257.0 °			2.26										2.26	2.26	724090.5	5021898.6	1843.9	109.9		

	8a49	   8a50	 293.0 °	 -18.0 °		2.98								 -18.0 °	-0.92	2.98	2.83	724087.8	5021899.7	1843.0	112.7		

	8a50	   8a51	 333.0 °	  -9.0 °		2.81								  -9.0 °	-0.44	2.81	2.78	724086.5	5021902.1	1842.5	115.5		

	8a51	   8a53	   0.0 °	 -14.0 °		3.43								 -14.0 °	-0.83	3.43	3.33	724086.5	5021905.5	1841.7	118.8		

Date du lever : 	22/09/2013	Déclinaison = 	1.15 °
Operateurs :	Emmanuel Vitte notes	Olivier Dutel length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en grades
mesures des Pentes :	DistoX	 en grades
	8a53	   8a54	 290.0 g	 -10.0 g		4.19								 -10.0 g	-0.66	4.19	4.14	724082.4	5021904.8	1841.0	123.0		

	8a54	   8a55	 222.0 g			1.50										1.50	1.50	724081.9	5021903.3	1841.0	124.5		

	8a55	   8a56	 247.0 g	 -10.0 g		3.46								 -10.0 g	-0.54	3.46	3.42	724079.7	5021900.8	1840.5	127.9		

	8a56	   8a57	 327.0 g	 -12.0 g		0.95								 -12.0 g	-0.18	0.95	0.93	724078.8	5021901.1	1840.3	128.8		

